Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1740515019172,4056,4056,4056,4056,4056,4056,4056,4056,68.69640350341797,69.50901794433594,63.13406753540039,62.836265563964844,63.09005355834961,62.93220138549805,70.60932922363281,70.60753631591797,69.3306655883789,70.47425842285156,70.72553253173828,68.45486450195313,63.764835357666016,63.85194396972656,26.3157901763916,21.052631378173828,10,20,47.36842346191406,47.619049072265625,20,21.052631378173828,24.410982131958008,17179869184,9663676416,13719584768,9166192640
204,1740515019377,4056,4056,4056,4056,4056,4056,4056,4056,67.66703796386719,68.37181854248047,63.4669075012207,63.614830017089844,63.277469635009766,63.69918441772461,69.55765533447266,69.4933853149414,68.32456970214844,69.27090454101563,69.44481658935547,67.2968978881836,64.26712036132813,64.37210083007813,55,45,42.85714340209961,40,61.904762268066406,65,50,45.45454788208008,24.410982131958008,17179869184,9663676416,13730889728,9166192640
204,1740515019582,4056,4056,4056,4056,4056,4056,4056,4056,67.66703796386719,68.37181854248047,63.4669075012207,63.614830017089844,63.277469635009766,63.69918441772461,69.55765533447266,69.4933853149414,68.32456970214844,69.27090454101563,69.44481658935547,67.2968978881836,64.26712036132813,64.37210083007813,28.571430206298828,23.809524536132813,15.000000953674316,10,50,52.6315803527832,33.333335876464844,30.000001907348633,24.410982131958008,17179869184,9663676416,13711589376,9166192640
204,1740515019787,4056,4056,4056,4056,4056,4056,4056,4056,67.66703796386719,68.37181854248047,63.4669075012207,63.614830017089844,63.277469635009766,63.69918441772461,69.55765533447266,69.4933853149414,68.32456970214844,69.27090454101563,69.44481658935547,67.2968978881836,64.26712036132813,64.37210083007813,21.052631378173828,20,9.523809432983398,9.523809432983398,42.85714340209961,52.38095474243164,25,15.000000953674316,19.24541473388672,17179869184,9663676416,13708656640,9166192640
204,1740515019992,4056,4056,4056,4056,4056,4056,4056,4056,67.66703796386719,68.37181854248047,63.4669075012207,63.614830017089844,63.277469635009766,63.69918441772461,69.55765533447266,69.4933853149414,68.32456970214844,69.27090454101563,69.44481658935547,67.2968978881836,64.26712036132813,64.37210083007813,35,33.333335876464844,15.789472579956055,10,45,57.142860412597656,10,10,19.24541473388672,17179869184,9663676416,13701857280,9166192640
201,1740515020197,4056,4056,4056,4056,4056,4056,4056,4056,67.66703796386719,68.37181854248047,63.4669075012207,63.614830017089844,63.277469635009766,63.69918441772461,69.55765533447266,69.4933853149414,68.32456970214844,69.27090454101563,69.44481658935547,67.2968978881836,64.26712036132813,64.37210083007813,42.85714340209961,40,33.333335876464844,23.809524536132813,47.619049072265625,42.85714340209961,13.636363983154297,9.523809432983398,19.24541473388672,17179869184,9663676416,13676625920,9166192640
200,1740515020399,4056,4056,4056,4056,4056,4056,4056,4056,67.5689468383789,68.75489044189453,64.17185974121094,64.29208374023438,63.984195709228516,64.24995422363281,69.30145263671875,69.22808837890625,68.16796112060547,69.80236053466797,70.11139678955078,67.64474487304688,65.06637573242188,65.3412857055664,35,25,25,15.000000953674316,50,50,0,0,19.24541473388672,17179869184,9663676416,13632946176,9166192640
203,1740515020600,4056,4056,4056,4056,4056,4056,4056,4056,67.5689468383789,68.75489044189453,64.17185974121094,64.29208374023438,63.984195709228516,64.24995422363281,69.30145263671875,69.22808837890625,68.16796112060547,69.80236053466797,70.11139678955078,67.64474487304688,65.06637573242188,65.3412857055664,30.000001907348633,25,15.000000953674316,10.526315689086914,47.36842346191406,47.36842346191406,5,5,19.24541473388672,17179869184,9663676416,13641891840,9166192640
204,1740515020803,4056,4056,4056,4056,4056,4056,4056,4056,67.5689468383789,68.75489044189453,64.17185974121094,64.29208374023438,63.984195709228516,64.24995422363281,69.30145263671875,69.22808837890625,68.16796112060547,69.80236053466797,70.11139678955078,67.64474487304688,65.06637573242188,65.3412857055664,38.095237731933594,35,38.095237731933594,23.809524536132813,59.09090805053711,66.66667175292969,30.000001907348633,23.809524536132813,20.37990951538086,17179869184,9663676416,13597655040,9166192640
204,1740515021008,4056,4056,4056,4056,4056,4056,4056,4056,67.5689468383789,68.75489044189453,64.17185974121094,64.29208374023438,63.984195709228516,64.24995422363281,69.30145263671875,69.22808837890625,68.16796112060547,69.80236053466797,70.11139678955078,67.64474487304688,65.06637573242188,65.3412857055664,26.3157901763916,25,15.789472579956055,10,52.6315803527832,47.619049072265625,14.285715103149414,5.263157844543457,20.37990951538086,17179869184,9663676416,13608632320,9166192640
204,1740515021213,4056,4056,4056,4056,4056,4056,4056,4056,67.5689468383789,68.75489044189453,64.17185974121094,64.29208374023438,63.984195709228516,64.24995422363281,69.30145263671875,69.22808837890625,68.16796112060547,69.80236053466797,70.11139678955078,67.64474487304688,65.06637573242188,65.3412857055664,47.619049072265625,45,38.095237731933594,38.095237731933594,66.66667175292969,63.15789031982422,40,38.095237731933594,20.37990951538086,17179869184,9663676416,13653114880,9166192640
204,1740515021418,4056,4056,4056,4056,4056,4056,4056,4056,68.2952651977539,69.18217468261719,62.63397216796875,62.542930603027344,62.46617889404297,62.61092758178711,70.36470794677734,70.41694641113281,68.9902114868164,70.28556823730469,70.60012817382813,68.04781341552734,63.40774154663086,63.52598571777344,20,19.047618865966797,9.523809432983398,5,42.85714340209961,50,19.047618865966797,9.090909004211426,20.37990951538086,17179869184,9663676416,13653573632,9166192640
